0.0,0.0,-1.0,0.0
0.001,-0.016,-0.999,0.0
0.002,-0.031,-0.999,0.0
0.003,-0.047,-1.0,0.0
0.004,-0.062,-1.002,0.0
0.005,-0.077,-1.004,0.0
0.006,-0.092,-1.007,0.0
0.007,-0.106,-1.01,0.0
0.008,-0.121,-1.014,0.0
0.009,-0.135,-1.019,0.001
0.01,-0.149,-1.024,0.001
0.011,-0.163,-1.03,0.001
0.012,-0.177,-1.037,0.001
0.013,-0.19,-1.044,0.001
0.014,-0.204,-1.052,0.001
0.015,-0.217,-1.06,0.002
0.016,-0.231,-1.069,0.002
0.017,-0.244,-1.079,0.002
0.018,-0.258,-1.089,0.002
0.019,-0.271,-1.1,0.003
0.02,-0.284,-1.111,0.003
0.021,-0.297,-1.123,0.003
0.022,-0.311,-1.136,0.004
0.023,-0.324,-1.149,0.004
0.024,-0.337,-1.163,0.004
0.025,-0.35,-1.177,0.005
0.026,-0.363,-1.192,0.005
0.027,-0.377,-1.207,0.006
0.028,-0.39,-1.223,0.006
0.029,-0.403,-1.24,0.006
0.03,-0.417,-1.257,0.007
0.031,-0.43,-1.275,0.007
0.032,-0.444,-1.293,0.008
0.033,-0.457,-1.312,0.009
0.034,-0.471,-1.332,0.009
0.035,-0.485,-1.352,0.01
0.036,-0.499,-1.373,0.01
0.037,-0.513,-1.394,0.011
0.038,-0.527,-1.416,0.012
0.039,-0.541,-1.439,0.012
0.04,-0.556,-1.462,0.013
0.041,-0.57,-1.486,0.014
0.042,-0.585,-1.51,0.015
0.043,-0.6,-1.535,0.016
0.044,-0.615,-1.561,0.016
0.045,-0.63,-1.588,0.017
0.046,-0.646,-1.615,0.018
0.047,-0.661,-1.643,0.019
0.048,-0.677,-1.671,0.02
0.049,-0.693,-1.7,0.021
0.05,-0.709,-1.73,0.023
0.051,-0.726,-1.76,0.024
0.052,-0.742,-1.792,0.025
0.053,-0.759,-1.824,0.026
0.054,-0.777,-1.856,0.027
0.055,-0.794,-1.89,0.029
0.056,-0.812,-1.924,0.03
0.057,-0.83,-1.959,0.032
0.058,-0.848,-1.995,0.033
0.059,-0.866,-2.031,0.035
0.06,-0.885,-2.069,0.036
0.061,-0.904,-2.107,0.038
0.062,-0.923,-2.146,0.04
0.063,-0.943,-2.185,0.042
0.064,-0.963,-2.226,0.044
0.065,-0.984,-2.268,0.046
0.066,-1.004,-2.31,0.048
0.067,-1.025,-2.353,0.05
0.068,-1.047,-2.397,0.052
0.069,-1.069,-2.443,0.055
0.07,-1.091,-2.489,0.057
0.071,-1.113,-2.536,0.06
0.072,-1.136,-2.584,0.062
0.073,-1.16,-2.633,0.065
0.074,-1.183,-2.683,0.068
0.075,-1.208,-2.734,0.071
0.076,-1.232,-2.786,0.074
0.077,-1.257,-2.839,0.077
0.078,-1.283,-2.893,0.08
0.079,-1.309,-2.948,0.084
0.08,-1.335,-3.005,0.087
0.081,-1.362,-3.062,0.091
0.082,-1.39,-3.121,0.095
0.083,-1.418,-3.181,0.099
0.084,-1.446,-3.242,0.103
0.085,-1.475,-3.304,0.108
0.086,-1.505,-3.368,0.112
0.087,-1.535,-3.432,0.117
0.088,-1.565,-3.499,0.122
0.089,-1.597,-3.566,0.127
0.09,-1.628,-3.635,0.132
0.091,-1.661,-3.705,0.138
0.092,-1.694,-3.776,0.143
0.093,-1.728,-3.849,0.149
0.094,-1.762,-3.924,0.155
0.095,-1.797,-3.999,0.162
0.096,-1.832,-4.077,0.169
0.097,-1.869,-4.156,0.175
0.098,-1.905,-4.236,0.183
0.099,-1.943,-4.318,0.19
0.1,-1.981,-4.401,0.198
0.101,-2.021,-4.487,0.206
0.102,-2.06,-4.574,0.214
0.103,-2.101,-4.662,0.223
0.104,-2.142,-4.752,0.232
0.105,-2.184,-4.844,0.242
0.106,-2.227,-4.938,0.251
0.107,-2.271,-5.034,0.262
0.108,-2.316,-5.131,0.272
0.109,-2.361,-5.231,0.283
0.11,-2.408,-5.332,0.295
0.111,-2.455,-5.435,0.307
0.112,-2.503,-5.541,0.319
0.113,-2.552,-5.648,0.332
0.114,-2.602,-5.757,0.345
0.115,-2.653,-5.869,0.359
0.116,-2.705,-5.983,0.373
0.117,-2.758,-6.098,0.388
0.118,-2.812,-6.217,0.404
0.119,-2.867,-6.337,0.42
0.12,-2.923,-6.459,0.437
0.121,-2.98,-6.584,0.454
0.122,-3.038,-6.712,0.473
0.123,-3.098,-6.842,0.491
0.124,-3.158,-6.974,0.511
0.125,-3.22,-7.109,0.531
0.126,-3.283,-7.246,0.553
0.127,-3.347,-7.386,0.575
0.128,-3.412,-7.529,0.597
0.129,-3.478,-7.674,0.621
0.13,-3.546,-7.822,0.646
0.131,-3.615,-7.973,0.671
0.132,-3.686,-8.127,0.698
0.133,-3.757,-8.283,0.726
0.134,-3.83,-8.443,0.755
0.135,-3.905,-8.605,0.784
0.136,-3.981,-8.771,0.816
0.137,-4.058,-8.94,0.848
0.138,-4.137,-9.111,0.881
0.139,-4.217,-9.286,0.916
0.14,-4.299,-9.465,0.952
0.141,-4.383,-9.646,0.99
0.142,-4.468,-9.831,1.029
0.143,-4.554,-10.02,1.07
0.144,-4.643,-10.211,1.112
0.145,-4.733,-10.407,1.155
0.146,-4.824,-10.606,1.201
0.147,-4.918,-10.808,1.248
0.148,-5.013,-11.014,1.297
0.149,-5.11,-11.224,1.348
0.15,-5.208,-11.438,1.401
0.151,-5.309,-11.655,1.456
0.152,-5.411,-11.877,1.513
0.153,-5.516,-12.102,1.573
0.154,-5.622,-12.332,1.634
0.155,-5.731,-12.565,1.698
0.156,-5.841,-12.803,1.765
0.157,-5.953,-13.045,1.834
0.158,-6.068,-13.291,1.905
0.159,-6.185,-13.541,1.98
0.16,-6.303,-13.796,2.057
0.161,-6.424,-14.055,2.137
0.162,-6.548,-14.319,2.221
0.163,-6.673,-14.587,2.307
0.164,-6.801,-14.859,2.397
0.165,-6.931,-15.136,2.49
0.166,-7.063,-15.418,2.587
0.167,-7.198,-15.705,2.687
0.168,-7.336,-15.996,2.792
0.169,-7.475,-16.292,2.9
0.17,-7.618,-16.593,3.012
0.171,-7.763,-16.899,3.128
0.172,-7.91,-17.209,3.249
0.173,-8.06,-17.525,3.375
0.174,-8.213,-17.845,3.505
0.175,-8.368,-18.171,3.64
0.176,-8.527,-18.501,3.78
0.177,-8.688,-18.837,3.925
0.178,-8.851,-19.177,4.076
0.179,-9.018,-19.523,4.232
0.18,-9.188,-19.873,4.394
0.181,-9.36,-20.229,4.562
0.182,-9.535,-20.59,4.737
0.183,-9.714,-20.956,4.917
0.184,-9.895,-21.327,5.104
0.185,-10.08,-21.703,5.298
0.186,-10.267,-22.084,5.5
0.187,-10.458,-22.47,5.708
0.188,-10.652,-22.86,5.924
0.189,-10.848,-23.256,6.148
0.19,-11.049,-23.657,6.379
0.191,-11.252,-24.062,6.619
0.192,-11.459,-24.472,6.868
0.193,-11.668,-24.887,7.125
0.194,-11.882,-25.307,7.392
0.195,-12.098,-25.73,7.668
0.196,-12.318,-26.158,7.953
0.197,-12.541,-26.591,8.249
0.198,-12.767,-27.027,8.554
0.199,-12.997,-27.467,8.87
0.2,-13.23,-27.911,9.197
0.201,-13.467,-28.359,9.536
0.202,-13.707,-28.809,9.885
0.203,-13.95,-29.263,10.246
0.204,-14.197,-29.72,10.62
0.205,-14.447,-30.18,11.005
0.206,-14.7,-30.642,11.404
0.207,-14.957,-31.107,11.815
0.208,-15.217,-31.573,12.24
0.209,-15.48,-32.04,12.678
0.21,-15.747,-32.509,13.131
0.211,-16.017,-32.979,13.597
0.212,-16.29,-33.449,14.078
0.213,-16.566,-33.919,14.574
0.214,-16.845,-34.389,15.086
0.215,-17.127,-34.858,15.612
0.216,-17.412,-35.326,16.155
0.217,-17.701,-35.792,16.713
0.218,-17.991,-36.256,17.288
0.219,-18.285,-36.716,17.88
0.22,-18.581,-37.174,18.488
0.221,-18.88,-37.627,19.113
0.222,-19.181,-38.076,19.756
0.223,-19.484,-38.519,20.416
0.224,-19.79,-38.956,21.094
0.225,-20.098,-39.387,21.789
0.226,-20.407,-39.81,22.503
0.227,-20.719,-40.225,23.234
0.228,-21.031,-40.632,23.984
0.229,-21.346,-41.028,24.751
0.23,-21.661,-41.414,25.537
0.231,-21.978,-41.788,26.341
0.232,-22.295,-42.15,27.163
0.233,-22.613,-42.499,28.003
0.234,-22.931,-42.833,28.861
0.235,-23.25,-43.153,29.737
0.236,-23.568,-43.456,30.63
0.237,-23.886,-43.743,31.54
0.238,-24.203,-44.012,32.467
0.239,-24.52,-44.261,33.411
0.24,-24.835,-44.491,34.37
0.241,-25.149,-44.7,35.345
0.242,-25.461,-44.887,36.336
0.243,-25.77,-45.051,37.34
0.244,-26.078,-45.191,38.359
0.245,-26.382,-45.307,39.39
0.246,-26.683,-45.396,40.434
0.247,-26.981,-45.459,41.489
0.248,-27.274,-45.495,42.555
0.249,-27.563,-45.502,43.63
0.25,-27.848,-45.479,44.714
0.251,-28.128,-45.426,45.805
0.252,-28.402,-45.343,46.902
0.253,-28.67,-45.227,48.005
0.254,-28.931,-45.08,49.111
0.255,-29.186,-44.899,50.22
0.256,-29.434,-44.685,51.33
0.257,-29.674,-44.437,52.439
0.258,-29.906,-44.154,53.547
0.259,-30.13,-43.837,54.651
0.26,-30.345,-43.485,55.751
0.261,-30.55,-43.098,56.844
0.262,-30.746,-42.675,57.929
0.263,-30.932,-42.217,59.004
0.264,-31.107,-41.725,60.068
0.265,-31.271,-41.197,61.119
0.266,-31.425,-40.634,62.155
0.267,-31.566,-40.037,63.175
0.268,-31.696,-39.407,64.177
